,name,i,j,mol,adsorption_energy
0,Co59V5,1,1,CO,-17.5249755859375
1,Co59V5,1,2,CO,-17.477734375
2,Co59V5,2,1,CO,-17.4964111328125
3,Co59V5,2,2,CO,-16.8972900390625
4,Co59V5,3,1,CO,-16.376904296875
5,Co59V5,3,2,CO,-17.5939453125
0,Co59V5,1,1,C,-9.32833251953125
1,Co59V5,1,2,C,-9.3220458984375
2,Co59V5,2,1,C,-9.35189208984375
3,Co59V5,2,2,C,-8.66890869140625
4,Co59V5,3,1,C,-9.39449462890625
5,Co59V5,3,2,C,-9.14901123046875
0,Co59V5,1,1,O,-9.690966796875
1,Co59V5,1,2,O,-9.65416259765625
2,Co59V5,2,1,O,-9.76976318359375
3,Co59V5,2,2,O,-8.75242919921875
4,Co59V5,3,1,O,-9.72105712890625
5,Co59V5,3,2,O,-8.7384521484375
0,Co59V5,1,1,CO,-16.70252685546875
1,Co59V5,1,2,CO,-15.6197021484375
2,Co59V5,2,1,CO,-17.26392822265625
3,Co59V5,2,2,CO,-17.71473388671875
4,Co59V5,3,1,CO,-17.42664794921875
5,Co59V5,3,2,CO,-17.42432861328125
0,Co59V5,1,1,C,-8.91634521484375
1,Co59V5,1,2,C,-8.91524658203125
2,Co59V5,2,1,C,-8.931787109375
3,Co59V5,2,2,C,-9.3119140625
4,Co59V5,3,1,C,-8.9924560546875
5,Co59V5,3,2,C,-9.31600341796875
0,Co59V5,1,1,O,-8.5306884765625
1,Co59V5,1,2,O,-8.57420654296875
2,Co59V5,2,1,O,-8.5846435546875
3,Co59V5,2,2,O,-8.60692138671875
4,Co59V5,3,1,O,-8.582568359375
5,Co59V5,3,2,O,-9.18028564453125
0,Co59V5,1,1,CO,-16.9358642578125
1,Co59V5,1,2,CO,-16.79359130859375
2,Co59V5,2,1,CO,-16.94794921875
3,Co59V5,2,2,CO,-18.3433349609375
4,Co59V5,3,1,CO,-16.798779296875
5,Co59V5,3,2,CO,-16.4527099609375
0,Co59V5,1,1,C,-7.82589111328125
1,Co59V5,1,2,C,-8.59676513671875
2,Co59V5,2,1,C,-8.6084228515625
3,Co59V5,2,2,C,-8.62813720703125
4,Co59V5,3,1,C,-8.51412353515625
5,Co59V5,3,2,C,-9.09517822265625
0,Co59V5,1,1,O,-7.68297119140625
1,Co59V5,1,2,O,-7.7230712890625
2,Co59V5,2,1,O,-7.724658203125
3,Co59V5,2,2,O,-7.99608154296875
4,Co59V5,3,1,O,-8.0739013671875
5,Co59V5,3,2,O,-7.7390625
